Pais,Growth Manager,Marca,Sucursal,App,Mes,Visitas,Conversión,Ordenes,Ventas,Recompra,NPS,Disponibilidad,Órdenes con Demora (%),Órdenes Canceladas (%),Tiempo de Preparación
Argentina,Juanchi,MARCA A ,Devoto,Pedidos Ya,1 jun 2025,16668,0.1972,3287,80581268.3,,4.6,0.9284,0.1972,0.0012,14
Argentina,Juanchi,MARCA A ,Belgrano,Pedidos Ya,1 jun 2025,15632,0.2019,3156,73300361.8,,4.6,0.9237,0.2019,0.0031,15
Argentina,Juanchi,MARCA A ,Urquiza,Rappi,1 ago 2024,23553,0.132,3109,65007470,0.7758,4.3,0.985,,0.0003,
Argentina,Juanchi,MARCA A ,Urquiza,Rappi,1 jun 2025,24432,0.125,3054,85972146,0.7417,4.45,0.9995,,0,
Argentina,Juanchi,MARCA A ,Urquiza,Pedidos Ya,1 jun 2025,16105,0.1805,2907,72389060.85,,4.6,0.9334,0.1805,0.001,17
Argentina,Juanchi,MARCA A ,Urquiza,Rappi,1 sept 2024,20781,0.137,2847,56761475,0.7942,4.55,0.9975,,0.0004,
Argentina,Juanchi,MARCA A ,Recoleta,Pedidos Ya,1 jun 2025,18501,0.1528,2827,63592460.05,,4.7,0.9565,0.1528,0.001,12
Argentina,Juanchi,MARCA A ,Devoto,Pedidos Ya,1 may 2025,15416,0.1671,2576,68186608.5,,4.7,0.9575,0.1671,0.0023,13
Argentina,Juanchi,MARCA A ,Urquiza,Pedidos Ya,1 may 2025,14407,0.172,2478,64102334.5,,4.6,0.9399,0.172,0.002,17
Argentina,Juanchi,MARCA A ,Urquiza,Rappi,1 may 2025,16233,0.15,2435,69186178,0.7347,3.8,0.9964,,0.0016,
Argentina,Juanchi,MARCA A ,Recoleta,Pedidos Ya,1 may 2025,16465,0.1454,2394,59327829,,4.7,0.9613,0.1454,0.0024,12
Argentina,Juanchi,MARCA A ,Devoto,Pedidos Ya,1 oct 2024,13140,0.1815,2385,49623651,,4.6,0.9959,0.1815,0.0012,14
Argentina,Juanchi,MARCA A ,Urquiza,Rappi,1 abr 2025,11919,0.197,2348,63425133,0.8096,4.65,0.9963,,0,
Argentina,Juanchi,MARCA A ,Belgrano,Pedidos Ya,1 may 2025,13660,0.1694,2314,58402937.5,,4.6,0.9512,0.1694,0.0055,15
Argentina,Juanchi,MARCA A ,Belgrano,Rappi,1 jun 2025,17822,0.129,2299,66247383,0.7512,3.95,0.9959,,0.0009,
Argentina,Juanchi,MARCA A ,Urquiza,Pedidos Ya,1 jul 2024,10215,0.2138,2184,37402875.5,,4.6,0.9945,0.2138,0.0005,30
Argentina,Juanchi,MARCA A ,Urquiza,Rappi,1 oct 2024,17959,0.121,2173,47905290,0.8233,4.6,0.9931,,0,
Argentina,Juanchi,MARCA A ,Devoto,Pedidos Ya,1 nov 2024,13149,0.1642,2159,48122865.5,,4.6,0.989,0.1642,0.0014,14
Argentina,Juanchi,MARCA A ,Devoto,Pedidos Ya,1 abr 2025,11697,0.1844,2157,54332315.5,,4.7,0.9508,0.1844,0.0014,13
Argentina,Juanchi,MARCA A ,Devoto,Pedidos Ya,1 ago 2024,11300.16051,0.1869,2112,40627238.5,,4.5,0.9659,0.1708,0.0014,18
Argentina,Juanchi,MARCA A ,Urquiza,Rappi,1 jul 2024,10611,0.198,2101,44636010,0.7987,4.65,1,,0,
Argentina,Juanchi,MARCA A ,Devoto,Pedidos Ya,1 sept 2024,11737,0.1785,2095,43029531.5,,4.6,0.9913,0.1785,0.0009,16
Argentina,Juanchi,MARCA A ,Recoleta,Rappi,1 jun 2025,19673,0.104,2046,58749590,0.672,4.6,0.9995,,0.001,
Argentina,Juanchi,MARCA A ,Devoto,Pedidos Ya,1 jul 2024,11897,0.1708,2032,35149728.5,,4.5,0.967,0.1708,0.0044,19
Argentina,Juanchi,MARCA A ,Devoto,Pedidos Ya,1 mar 2025,11734,0.1713,2010,53829603.5,,4.6,0.9628,0.1713,0.0029,14
Argentina,Juanchi,MARCA A ,Belgrano,Rappi,1 may 2025,13821,0.145,2004,60724392,0.731,4.05,0.9978,,0.0015,
Argentina,Juanchi,MARCA A ,Urquiza,Pedidos Ya,1 oct 2024,11372,0.1756,1997,43108010.5,,4.6,0.9933,0.1756,0.0005,24
Argentina,Juanchi,MARCA A ,Urquiza,Pedidos Ya,1 abr 2025,10958,0.1806,1979,48747419,,4.6,0.9675,0.1806,0.0015,17
Argentina,Juanchi,MARCA A ,Urquiza,Pedidos Ya,1 ago 2024,10212.98701,0.1925,1966,38954703.7,,4.6,0.9836,0.2138,0.0025,29
Argentina,Juanchi,MARCA A ,Belgrano,Pedidos Ya,1 oct 2024,11975,0.1615,1934,41102698,,4.5,0.9967,0.1615,0,17
Argentina,Juanchi,MARCA A ,Urquiza,Rappi,1 mar 2025,9377,0.204,1913,55224435,0.7893,4.75,0.9859,,0,
Argentina,Juanchi,MARCA A ,Urquiza,Rappi,1 nov 2024,18327,0.104,1906,50554415,0.7728,4.15,0.9892,,0.001,
Argentina,Juanchi,MARCA A ,Recoleta,Pedidos Ya,1 abr 2025,12842,0.1464,1880,41722173.1,,4.7,0.9836,0.1464,0.001,11
Argentina,Juanchi,MARCA A ,Belgrano,Pedidos Ya,1 sept 2024,11139,0.1685,1877,37775822.5,,4.5,0.976,0.1685,0.0026,20
Argentina,Juanchi,MARCA A ,Belgrano,Pedidos Ya,1 abr 2025,10514,0.1752,1842,44160221.5,,4.6,0.96,0.1752,0.0016,15
Argentina,Juanchi,MARCA A ,Urquiza,Pedidos Ya,1 sept 2024,10613,0.1714,1819,36988579.5,,4.6,0.9951,0.1714,0.0011,26
Argentina,Juanchi,MARCA A ,Recoleta,Pedidos Ya,1 ago 2024,11828.87002,0.1531,1811,31437286.1,,4.6,0.9937,0.1367,0.0016,18
Argentina,Juanchi,MARCA A ,Belgrano,Pedidos Ya,1 ago 2024,10260.77098,0.1764,1810,32904542.5,,4.5,0.9799,0.1847,0.0011,22
Argentina,Juanchi,MARCA A ,Devoto,Pedidos Ya,1 dic 2024,1966,0.9196,1808,43885216.25,,4.6,0.9919,0.9196,0.0124,14
Argentina,Juanchi,MARCA A ,Belgrano,Rappi,1 sept 2024,12640,0.139,1757,37319580,0.7928,4.6,0.9933,,0,
Argentina,Juanchi,MARCA A ,Recoleta,Pedidos Ya,1 sept 2024,13311,0.1314,1749,33731437,,4.6,0.9979,0.1314,0,16
Argentina,Juanchi,MARCA A ,Urquiza,Rappi,1 dic 2024,13457,0.129,1736,48207535,0.7661,4.9,0.9979,,0.0006,
Argentina,Juanchi,MARCA A ,Urquiza,Rappi Turbo,1 jun 2025,17887,0.097,1735,43034014,0.5735,4.25,0.994,,0,
Argentina,Juanchi,MARCA A ,Urquiza,Pedidos Ya,1 mar 2025,9738,0.1759,1713,45208383.5,,4.6,0.9546,0.1759,0.0029,17
Argentina,Juanchi,MARCA A ,Belgrano,Rappi,1 abr 2025,8207,0.208,1707,48005754,0.7862,4.45,0.9982,,0,
Argentina,Juanchi,MARCA A ,Belgrano,Rappi,1 oct 2024,12529,0.136,1704,37127055,0.7746,3.85,0.9978,,0,
Argentina,Juanchi,MARCA A ,Urquiza,Pedidos Ya,1 nov 2024,9982,0.1678,1675,38827932,,4.5,0.9914,0.1678,0.0024,22
Argentina,Juanchi,MARCA A ,Recoleta,Rappi,1 ago 2024,16058,0.104,1670,33630725,0.7084,4.15,0.9969,,0,
Argentina,Juanchi,MARCA A ,Recoleta,Rappi,1 may 2025,13426,0.122,1638,49297050,0.6484,4.65,0.9937,,0.0037,
Argentina,Juanchi,MARCA A ,Belgrano,Rappi,1 jul 2024,7799,0.209,1630,32781590,0.7816,4.1,0.9961,,0.0006,
Argentina,Juanchi,MARCA A ,Belgrano,Pedidos Ya,1 jul 2024,8814,0.1847,1628,28594203.5,,4.5,0.9567,0.1847,0.0018,23
Argentina,Juanchi,MARCA A ,Recoleta,Rappi,1 sept 2024,10196,0.158,1611,35106270,0.7604,4.3,0.9875,,0,
Argentina,Juanchi,MARCA A ,Belgrano,Pedidos Ya,1 mar 2025,9398,0.1711,1608,41548694.5,,4.6,0.9783,0.1711,0.0024,15
Argentina,Juanchi,MARCA A ,Urquiza,Rappi,1 feb 2025,9456,0.169,1598,43199615,0.8004,4.25,1,,0,
